id,name,description,category,price,currency,width,height,depth,material,color,stock,status,brand,image,tags
KB-001,Meuble bas moderne 60cm,"Meuble de cuisine bas avec porte, finition laquée",base_cabinet,299.99,EUR,60,72,58,Panneau mélaminé,Blanc,45,available,KitchenPro,https://example.com/kb001.jpg,"cuisine,moderne,laqué"
KB-002,Meuble bas 2 tiroirs,"Meuble équipé de 2 tiroirs à fermeture douce",base_cabinet,389.99,EUR,80,72,58,MDF,Gris anthracite,32,available,KitchenPro,https://example.com/kb002.jpg,"cuisine,tiroirs,moderne"
KB-003,Meuble bas d'angle,"Meuble d'angle optimisé avec plateau tournant",corner_cabinet,459.99,EUR,90,72,90,Panneau particules,Blanc,18,low_stock,KitchenPro,https://example.com/kb003.jpg,"cuisine,angle,rangement"
WC-001,Meuble haut vitré 80cm,"Meuble haut avec porte vitrée, étagères ajustables",wall_cabinet,249.99,EUR,80,70,35,MDF + Verre,Blanc,28,available,KitchenPro,https://example.com/wc001.jpg,"cuisine,vitré,moderne"
WC-002,Meuble haut 2 portes,"Meuble haut classique avec 2 portes battantes",wall_cabinet,189.99,EUR,100,70,35,Panneau mélaminé,Chêne naturel,41,available,KitchenPro,https://example.com/wc002.jpg,"cuisine,classique,bois"
CT-001,Plan de travail stratifié,"Plan de travail effet béton, épaisseur 38mm",countertop,159.99,EUR,280,3.8,65,Stratifié HPL,Gris béton,22,available,WorkTop Plus,https://example.com/ct001.jpg,"plan de travail,béton,moderne"
CT-002,Plan de travail bois massif,"Plan de travail en chêne massif huilé, épaisseur 40mm",countertop,589.99,EUR,200,4,65,Chêne massif,Naturel,8,available,WorkTop Plus,https://example.com/ct002.jpg,"plan de travail,bois,premium"
CT-003,Plan de travail quartz,"Plan de travail quartz reconstitué effet marbre",countertop,1299.99,EUR,240,2,65,Quartz 93%,Blanc Carrare,5,available,WorkTop Plus,https://example.com/ct003.jpg,"plan de travail,quartz,marbre,luxe"
SK-001,Évier inox 1 bac,"Évier à encastrer en inox 18/10, 1 grand bac",sink,129.99,EUR,50,20,50,Inox 18/10,Inox brossé,55,available,AquaSink,https://example.com/sk001.jpg,"évier,inox,simple"
SK-002,Évier céramique 2 bacs,"Évier céramique blanche avec 2 bacs + égouttoir",sink,349.99,EUR,90,20,50,Céramique,Blanc,14,available,AquaSink,https://example.com/sk002.jpg,"évier,céramique,double bac"
SK-003,Évier résine composite,"Évier en résine composite, résistant aux chocs",sink,229.99,EUR,76,20,50,Résine composite,Noir graphite,26,available,AquaSink,https://example.com/sk003.jpg,"évier,résine,moderne"
FC-001,Mitigeur chrome haut,"Mitigeur avec bec haut orientable, finition chromée",faucet,89.99,EUR,22,32,5,Laiton chromé,Chrome,78,available,FlowTech,https://example.com/fc001.jpg,"robinet,chrome,moderne"
FC-002,Mitigeur noir mat douchette,"Mitigeur avec douchette extractible, finition noir mat",faucet,159.99,EUR,24,35,5,Laiton + PVD,Noir mat,42,available,FlowTech,https://example.com/fc002.jpg,"robinet,noir,douchette"
FC-003,Mitigeur tactile,"Mitigeur avec commande tactile, LED température",faucet,289.99,EUR,25,33,5,Inox + électronique,Inox brossé,19,available,FlowTech,https://example.com/fc003.jpg,"robinet,tactile,connecté"
DR-001,Tiroir coulissant 60cm,"Tiroir avec fermeture amortie Blum, charge 40kg",drawer,119.99,EUR,56,15,50,Acier + MDF,Blanc,64,available,SlideMax,https://example.com/dr001.jpg,"tiroir,amortisseur,60cm"
DR-002,Tiroir profond 80cm,"Tiroir haute capacité avec fermeture douce, charge 65kg",drawer,169.99,EUR,76,20,50,Acier + MDF,Gris,38,available,SlideMax,https://example.com/dr002.jpg,"tiroir,profond,80cm"
HW-001,Charnière amortisseur x10,"Lot de 10 charnières avec fermeture amortie",hardware,39.99,EUR,,,,,Acier nickelé,85,available,FixPro,https://example.com/hw001.jpg,"quincaillerie,charnière"
HW-002,Poignée barre inox 192mm,"Poignée de meuble en inox brossé, entraxe 192mm",hardware,12.99,EUR,21,1.2,3,Inox,Inox brossé,245,available,FixPro,https://example.com/hw002.jpg,"poignée,inox,moderne"
HW-003,Pied réglable cuisine x4,"Lot de 4 pieds réglables 100-180mm avec vérin",hardware,24.99,EUR,,,15,,Plastique + Acier,Noir,156,available,FixPro,https://example.com/hw003.jpg,"pied,réglable,vérin"
AC-001,Organiseur tiroir couverts,"Organiseur modulable en plastique pour couverts",accessory,19.99,EUR,48,5.5,49,Plastique,Gris clair,198,available,OrganizeIt,https://example.com/ac001.jpg,"rangement,tiroir,couverts"
AC-002,Poubelle tri encastrable,"Poubelle de tri 2 bacs encastrable dans meuble",accessory,79.99,EUR,30,36,48,Plastique,Gris,47,available,OrganizeIt,https://example.com/ac002.jpg,"poubelle,tri,encastrable"
AC-003,Étagère murale métal,"Étagère murale industrielle en acier noir",accessory,45.99,EUR,80,25,25,Acier,Noir mat,62,available,OrganizeIt,https://example.com/ac003.jpg,"étagère,murale,métal"
BS-001,Crédence verre trempé,"Crédence en verre trempé sécurit, fixation adhésive",backsplash,189.99,EUR,90,65,0.6,Verre trempé,Blanc brillant,24,available,GlassWall,https://example.com/bs001.jpg,"crédence,verre,blanc"
BS-001,Crédence carrelage metro,"Crédence adhésive effet carrelage métro blanc",backsplash,49.99,EUR,120,60,0.2,PVC adhésif,Blanc,88,available,GlassWall,https://example.com/bs002.jpg,"crédence,carrelage,adhésive"
LT-001,Réglette LED 60cm,"Réglette LED sous meuble, blanc chaud 3000K",lighting,34.99,EUR,60,2,3,Aluminium,Blanc,124,available,LightLine,https://example.com/lt001.jpg,"éclairage,LED,60cm"
LT-002,Spot LED encastrable,"Spot LED orientable avec driver, blanc neutre 4000K",lighting,18.99,EUR,8,4,8,Aluminium,Blanc,186,available,LightLine,https://example.com/lt002.jpg,"éclairage,LED,spot"
LT-003,Bandeau LED RGB,"Bandeau LED RGB + blanc avec télécommande, 3m",lighting,69.99,EUR,300,1,0.8,Silicone,Transparent,52,available,LightLine,https://example.com/lt003.jpg,"éclairage,LED,RGB,connecté"
DO-001,Porte laquée blanche,"Façade de meuble laquée brillante pour METOD 60x80",door,65.99,EUR,60,80,1.8,MDF laqué,Blanc brillant,156,available,FrontFace,https://example.com/do001.jpg,"façade,laqué,blanc"
DO-002,Porte effet bois chêne,"Façade décor chêne naturel pour meuble 60x80",door,42.99,EUR,60,80,1.8,Mélaminé,Chêne naturel,203,available,FrontFace,https://example.com/do002.jpg,"façade,bois,chêne"
DO-003,Porte noir mat,"Façade finition noir mat soft-touch pour meuble 60x80",door,58.99,EUR,60,80,1.8,MDF laqué,Noir mat,94,available,FrontFace,https://example.com/do003.jpg,"façade,noir,mat"
TC-001,Colonne four 60cm,"Colonne pour encastrement four + micro-ondes",tall_cabinet,789.99,EUR,60,200,58,Panneau mélaminé,Blanc,12,available,KitchenPro,https://example.com/tc001.jpg,"colonne,four,électroménager"
TC-002,Colonne rangement 4 portes,"Colonne haute 4 portes avec 6 étagères",tall_cabinet,899.99,EUR,60,200,58,MDF,Gris,8,available,KitchenPro,https://example.com/tc002.jpg,"colonne,rangement,4 portes"
AP-001,Four encastrable pyrolyse,"Four multifonction pyrolyse, classe A+, 71L",appliance,599.99,EUR,59.5,59.5,56.5,Email + Inox,Inox,15,available,CookMaster,https://example.com/ap001.jpg,"four,pyrolyse,encastrable"
AP-002,Micro-ondes grill 25L,"Micro-ondes avec fonction grill, 900W, inox",appliance,189.99,EUR,59.5,38.8,35,Inox,Inox,28,available,CookMaster,https://example.com/ap002.jpg,"micro-ondes,grill,encastrable"
AP-003,Plaque induction 4 foyers,"Plaque induction 4 zones modulables, commandes tactiles",appliance,449.99,EUR,59,5.1,52,Vitrocéramique noire,Noir,22,available,CookMaster,https://example.com/ap003.jpg,"plaque,induction,4 foyers"
AP-004,Hotte aspirante 90cm,"Hotte murale design, débit 600m³/h, LED",appliance,329.99,EUR,90,55,47,Inox + Verre,Inox et noir,19,available,CookMaster,https://example.com/ap004.jpg,"hotte,aspirante,90cm,LED"
AP-005,Lave-vaisselle 60cm,"Lave-vaisselle 13 couverts, A++, silence 44dB",appliance,499.99,EUR,59.8,81.5,55,Inox,Inox,16,available,CookMaster,https://example.com/ap005.jpg,"lave-vaisselle,encastrable,silencieux"
AP-006,Réfrigérateur encastrable,"Réfrigérateur combiné encastrable, 272L, A++",appliance,899.99,EUR,54,177.5,54.5,Email,Blanc,9,available,CookMaster,https://example.com/ap006.jpg,"réfrigérateur,encastrable,combiné"
HW-004,Rail suspension 200cm,"Rail de suspension aluminium pour meubles hauts",hardware,29.99,EUR,200,2,1.5,Aluminium,Aluminium,68,available,FixPro,https://example.com/hw004.jpg,"rail,suspension,200cm"
HW-005,Vérin porte relevante,"Mécanisme pour porte de meuble haut relevante",hardware,89.99,EUR,35,8,5,Acier,Gris,34,available,FixPro,https://example.com/hw005.jpg,"vérin,porte,relevante"
HW-006,Amortisseur tiroir x10,"Lot de 10 amortisseurs pour tiroirs coulissants",hardware,24.99,EUR,,,,,Plastique + Métal,Gris,112,available,FixPro,https://example.com/hw006.jpg,"amortisseur,tiroir"
AC-004,Barre magnétique couteaux,"Barre aimantée murale pour ranger les couteaux, 40cm",accessory,22.99,EUR,40,4,3,Acier inox,Inox,95,available,OrganizeIt,https://example.com/ac004.jpg,"rangement,magnétique,couteaux"
AC-005,Panier coulissant épices,"Panier coulissant chromé pour rangement épices",accessory,54.99,EUR,15,50,48,Acier chromé,Chrome,41,available,OrganizeIt,https://example.com/ac005.jpg,"rangement,épices,coulissant"
AC-006,Distributeur savon encastré,"Distributeur de savon à encastrer dans plan de travail",accessory,29.99,EUR,6.5,25,12,Inox + Plastique,Inox brossé,73,available,OrganizeIt,https://example.com/ac006.jpg,"savon,encastrable,inox"
BS-003,Crédence inox brossé,"Crédence en inox brossé anti-traces, épaisseur 1mm",backsplash,279.99,EUR,100,70,0.1,Inox 304,Inox brossé,14,available,GlassWall,https://example.com/bs003.jpg,"crédence,inox,premium"
BS-004,Crédence stratifié HPL,"Crédence stratifié haute pression, décor béton",backsplash,89.99,EUR,120,64,0.6,Stratifié HPL,Gris béton,32,available,GlassWall,https://example.com/bs004.jpg,"crédence,stratifié,béton"
DO-004,Porte vitrée cadre alu,"Façade vitrée avec cadre aluminium pour meuble 60x80",door,89.99,EUR,60,80,1.8,Verre + Alu,Transparent,48,available,FrontFace,https://example.com/do004.jpg,"façade,vitrée,aluminium"
DO-005,Porte push-to-open,"Façade avec système d'ouverture par pression",door,72.99,EUR,60,80,1.8,MDF laqué,Gris,67,available,FrontFace,https://example.com/do005.jpg,"façade,push,sans poignée"
